epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,508.984,1.55201,1.30713,1.18778,0.58114,0.27707,0.24963,0.11186,1.83399,3.79729,1.39425,0.0700579,0.0033269,0.0033269
2,7381.23,1.48917,1.15116,1.16626,0.52695,0.50047,0.52874,0.26806,1.57346,1.25521,1.23866,0.0400514,0.00665373,0.00665373
3,7895.75,1.43872,1.0754,1.14575,0.57473,0.43035,0.48395,0.25317,1.5691,1.44335,1.27859,0.0100189,0.00995456,0.00995456
4,8408.25,1.4263,1.06462,1.13846,0.50934,0.51013,0.53054,0.27661,1.49784,1.17088,1.2012,0.00991232,0.00991232,0.00991232
5,8923.79,1.40337,1.03284,1.13512,0.64322,0.53284,0.56881,0.32343,1.40644,1.07875,1.17033,0.00984449,0.00984449,0.00984449
6,9387.25,1.39198,1.01374,1.12995,0.5502,0.54904,0.58893,0.33855,1.35682,1.02838,1.14504,0.00975773,0.00975773,0.00975773
7,9886.28,1.36985,0.99909,1.12139,0.56453,0.58744,0.60472,0.35761,1.31063,1.01463,1.13044,0.00965239,0.00965239,0.00965239
8,10363.4,1.35789,0.98451,1.11712,0.66732,0.57876,0.61513,0.36542,1.29743,0.9756,1.12019,0.00952889,0.00952889,0.00952889
9,10807.4,1.35079,0.9733,1.10969,0.67744,0.5781,0.61069,0.37303,1.27049,0.97362,1.11576,0.00938772,0.00938772,0.00938772
10,11257.8,1.33802,0.96562,1.10905,0.57473,0.55085,0.60074,0.36395,1.27868,0.95382,1.12284,0.00922942,0.00922942,0.00922942
11,11751.8,1.32748,0.95751,1.1055,0.57149,0.60797,0.61682,0.37641,1.29261,0.94096,1.11669,0.00905463,0.00905463,0.00905463
12,12207.9,1.32076,0.95086,1.10071,0.69006,0.59028,0.63444,0.38986,1.26702,0.9222,1.11137,0.00886404,0.00886404,0.00886404
13,12690.2,1.31479,0.94766,1.0994,0.65662,0.59583,0.62013,0.37967,1.27278,0.97138,1.11118,0.00865839,0.00865839,0.00865839
14,13176,1.31004,0.93907,1.09891,0.61769,0.6075,0.64357,0.40135,1.22987,0.90564,1.09415,0.00843851,0.00843851,0.00843851
15,13935.9,1.30017,0.93041,1.09169,0.61779,0.6144,0.64623,0.39829,1.26112,0.88869,1.09959,0.00820525,0.00820525,0.00820525
16,15249,1.29679,0.92219,1.08914,0.5912,0.61373,0.64129,0.39159,1.28742,0.88804,1.10666,0.00795954,0.00795954,0.00795954
17,16676.7,1.29507,0.92004,1.08911,0.63144,0.6369,0.65999,0.41919,1.2205,0.85594,1.08216,0.00770234,0.00770234,0.00770234
18,18232.1,1.2866,0.91481,1.0845,0.60443,0.63406,0.65931,0.4165,1.22109,0.858,1.08446,0.00743468,0.00743468,0.00743468
19,18751.4,1.28074,0.90831,1.0829,0.58485,0.64268,0.65187,0.40909,1.22982,0.86873,1.08631,0.00715761,0.00715761,0.00715761
20,19345.6,1.27972,0.90444,1.08044,0.57998,0.64967,0.65936,0.41951,1.19843,0.84419,1.07492,0.00687222,0.00687222,0.00687222
21,21239,1.27484,0.89664,1.07797,0.60225,0.65262,0.66865,0.42932,1.1916,0.83274,1.07183,0.00657963,0.00657963,0.00657963
22,21758.1,1.26834,0.89326,1.07546,0.59232,0.66723,0.66921,0.42693,1.19516,0.83365,1.07286,0.00628101,0.00628101,0.00628101
23,22204.2,1.26026,0.88686,1.072,0.63507,0.64962,0.67369,0.43457,1.18808,0.82018,1.06782,0.00597754,0.00597754,0.00597754
24,22687.3,1.25826,0.88442,1.07219,0.62588,0.65641,0.67452,0.43228,1.19206,0.82124,1.06836,0.0056704,0.0056704,0.0056704
25,23159.9,1.24873,0.87598,1.06823,0.59851,0.65512,0.67267,0.43151,1.19187,0.82054,1.06475,0.00536081,0.00536081,0.00536081
26,23595.1,1.245,0.86922,1.06487,0.60939,0.67533,0.6854,0.44764,1.16723,0.80371,1.05785,0.00505,0.00505,0.00505
27,24026.8,1.24016,0.86284,1.06246,0.62609,0.66338,0.68128,0.44086,1.18036,0.80091,1.06061,0.00473919,0.00473919,0.00473919
28,24459.5,1.23335,0.85835,1.06061,0.62773,0.66971,0.6871,0.44506,1.17899,0.80144,1.05963,0.0044296,0.0044296,0.0044296
29,24891.6,1.23026,0.8488,1.05796,0.63873,0.66114,0.68948,0.44728,1.17059,0.794,1.05338,0.00412246,0.00412246,0.00412246
30,25324.5,1.223,0.84447,1.05539,0.6564,0.63941,0.68778,0.44944,1.16041,0.78913,1.05422,0.00381899,0.00381899,0.00381899
31,25756.6,1.21469,0.83727,1.05353,0.623,0.66758,0.69325,0.45382,1.16257,0.78346,1.05188,0.00352037,0.00352037,0.00352037
32,26188.6,1.21054,0.83038,1.05008,0.63209,0.67076,0.69059,0.45122,1.16253,0.78068,1.05224,0.00322778,0.00322778,0.00322778
33,26621.4,1.20419,0.82688,1.04826,0.61632,0.67684,0.69224,0.4558,1.15069,0.77765,1.04912,0.00294239,0.00294239,0.00294239
34,27053.7,1.19906,0.81855,1.04611,0.63994,0.67532,0.69709,0.45793,1.15558,0.77645,1.04844,0.00266532,0.00266532,0.00266532
35,27492.7,1.19513,0.81334,1.04359,0.62801,0.67326,0.69443,0.45647,1.15902,0.77555,1.04915,0.00239766,0.00239766,0.00239766
36,27943.9,1.18856,0.80777,1.04149,0.64599,0.66575,0.69709,0.45956,1.1503,0.77063,1.04448,0.00214046,0.00214046,0.00214046
37,28375.6,1.18163,0.80182,1.03795,0.65541,0.65839,0.69898,0.46286,1.14478,0.7661,1.04334,0.00189475,0.00189475,0.00189475
