epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,429.319,1.55089,1.30302,1.18138,0.65217,0.46493,0.44098,0.21992,1.60441,2.44083,1.25478,0.0700579,0.0033269,0.0033269
2,853.221,1.47289,1.12909,1.14355,0.57965,0.53841,0.56373,0.31414,1.42448,1.15382,1.15014,0.0400514,0.00665373,0.00665373
3,1368.11,1.40921,1.04341,1.11316,0.63234,0.57947,0.54093,0.30564,1.41377,1.29409,1.15981,0.0100189,0.00995456,0.00995456
4,1884.05,1.38192,1.01282,1.09965,0.54891,0.62422,0.61141,0.34887,1.37181,1.04646,1.12574,0.00991232,0.00991232,0.00991232
5,2377.8,1.32662,0.96192,1.08312,0.66904,0.56025,0.58964,0.34733,1.37334,1.01835,1.12837,0.00984449,0.00984449,0.00984449
6,2860.85,1.30065,0.93068,1.07314,0.5725,0.63208,0.63077,0.38973,1.25256,0.93993,1.08381,0.00975773,0.00975773,0.00975773
7,3304.87,1.28069,0.91325,1.06393,0.57377,0.61672,0.62554,0.38987,1.24344,0.91709,1.07338,0.00965239,0.00965239,0.00965239
8,3734.33,1.25982,0.89212,1.05689,0.69753,0.60154,0.65206,0.40699,1.23025,0.88317,1.06658,0.00952889,0.00952889,0.00952889
9,4160.04,1.25136,0.87958,1.04932,0.62215,0.63111,0.66796,0.42369,1.2068,0.8639,1.0563,0.00938772,0.00938772,0.00938772
10,4584.53,1.24523,0.86547,1.05059,0.64559,0.61261,0.65922,0.42233,1.20675,0.87258,1.05806,0.00922942,0.00922942,0.00922942
11,5007.85,1.23091,0.85659,1.04375,0.59639,0.63301,0.65353,0.40844,1.23998,0.8641,1.06785,0.00905463,0.00905463,0.00905463
12,5430.97,1.22037,0.8476,1.03822,0.63128,0.66061,0.67835,0.43848,1.18859,0.82199,1.0465,0.00886404,0.00886404,0.00886404
13,5853.01,1.21258,0.83757,1.03484,0.64471,0.64371,0.67471,0.43265,1.20254,0.82651,1.05068,0.00865839,0.00865839,0.00865839
14,6280.03,1.20463,0.83026,1.03331,0.61396,0.65635,0.67909,0.43891,1.17346,0.8107,1.03981,0.00843851,0.00843851,0.00843851
15,6710.85,1.19654,0.81845,1.0304,0.64104,0.66491,0.69595,0.4564,1.16365,0.78911,1.03632,0.00820525,0.00820525,0.00820525
16,7146.36,1.18867,0.80994,1.02632,0.64516,0.68105,0.70664,0.46749,1.1467,0.77722,1.03478,0.00795954,0.00795954,0.00795954
