epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,534.651,1.45161,1.19559,1.12666,0.58982,0.52351,0.5093,0.272,1.47134,1.51076,1.15854,0.0700579,0.0033269,0.0033269
2,1088.42,1.38665,1.05544,1.09675,0.54735,0.58518,0.57947,0.33384,1.34916,1.14262,1.10845,0.0400514,0.00665373,0.00665373
3,1587.1,1.35191,1.00734,1.08287,0.62407,0.54932,0.59129,0.34467,1.34716,1.12829,1.11384,0.0100189,0.00995456,0.00995456
4,2098.44,1.34393,0.99599,1.07929,0.56044,0.55863,0.58638,0.32876,1.41589,1.05518,1.13776,0.00991232,0.00991232,0.00991232
5,2601.18,1.31805,0.96444,1.07501,0.67195,0.59017,0.61811,0.3803,1.2808,0.96603,1.0916,0.00984449,0.00984449,0.00984449
6,3093.59,1.3051,0.94736,1.07174,0.69351,0.58761,0.63325,0.38539,1.26709,0.94785,1.08131,0.00975773,0.00975773,0.00975773
7,3591.48,1.29125,0.93343,1.06945,0.63009,0.60583,0.63775,0.3965,1.23705,0.91618,1.07186,0.00965239,0.00965239,0.00965239
8,4081.5,1.27791,0.91921,1.06371,0.58645,0.63584,0.65058,0.40272,1.23354,0.88997,1.06624,0.00952889,0.00952889,0.00952889
9,4569.68,1.27189,0.90681,1.05801,0.59974,0.64386,0.65546,0.40516,1.25296,0.88654,1.06914,0.00938772,0.00938772,0.00938772
10,5059.26,1.26513,0.89885,1.0591,0.61629,0.59709,0.64613,0.40065,1.24968,0.90632,1.07442,0.00922942,0.00922942,0.00922942
11,5550.74,1.25541,0.88671,1.05509,0.65504,0.59042,0.64827,0.40605,1.23969,0.89128,1.07171,0.00905463,0.00905463,0.00905463
12,6039.14,1.25095,0.8835,1.05333,0.629,0.627,0.66231,0.42404,1.20157,0.85144,1.06341,0.00886404,0.00886404,0.00886404
13,6529.79,1.24404,0.87625,1.05242,0.57144,0.6295,0.65699,0.41503,1.21367,0.86764,1.06012,0.00865839,0.00865839,0.00865839
14,7026.82,1.24,0.87189,1.05067,0.59937,0.66702,0.67292,0.42716,1.20226,0.85362,1.05426,0.00843851,0.00843851,0.00843851
