epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,715.502,1.44235,1.32549,1.1393,0.67968,0.59885,0.6303,0.37457,1.2973,0.97997,1.05728,0.0700579,0.0033269,0.0033269
2,1209.37,1.32477,0.96078,1.0449,0.65194,0.61552,0.66061,0.41266,1.22627,0.91549,1.03968,0.0400514,0.00665373,0.00665373
3,1676.74,1.34516,0.97294,1.0524,0.55401,0.57034,0.58351,0.34446,1.34234,1.06762,1.08161,0.0100189,0.00995456,0.00995456
4,2155.69,1.34641,0.98535,1.05611,0.57706,0.62432,0.63613,0.38942,1.25131,0.97348,1.05438,0.00991232,0.00991232,0.00991232
5,2648.6,1.29904,0.92907,1.04303,0.60102,0.62999,0.65366,0.40805,1.23739,0.87962,1.04289,0.00984449,0.00984449,0.00984449
6,3156.7,1.26847,0.89714,1.03144,0.60053,0.65802,0.66986,0.42349,1.20886,0.8671,1.02821,0.00975773,0.00975773,0.00975773
7,3714.37,1.25014,0.87675,1.02542,0.60181,0.62888,0.65311,0.4095,1.22218,0.87266,1.03558,0.00965239,0.00965239,0.00965239
8,4243.98,1.23072,0.85859,1.01865,0.6443,0.64113,0.68476,0.43829,1.19729,0.84148,1.02594,0.00952889,0.00952889,0.00952889
9,4809.54,1.22192,0.84354,1.01288,0.62217,0.65764,0.68417,0.44528,1.16957,0.81745,1.01495,0.00938772,0.00938772,0.00938772
10,5315.89,1.21003,0.8314,1.01066,0.65075,0.6395,0.6877,0.44646,1.18565,0.82749,1.01749,0.00922942,0.00922942,0.00922942
11,5836.43,1.19794,0.8206,1.00563,0.61747,0.6724,0.69357,0.45277,1.17178,0.79965,1.01392,0.00905463,0.00905463,0.00905463
12,6346.28,1.18806,0.81152,1.00093,0.65685,0.63806,0.69156,0.44706,1.18581,0.82742,1.01682,0.00886404,0.00886404,0.00886404
13,6856.85,1.1814,0.80377,1.00038,0.68708,0.64162,0.70714,0.46507,1.15286,0.78127,1.00688,0.00865839,0.00865839,0.00865839
14,7344.29,1.17509,0.79589,0.99979,0.64191,0.64729,0.68386,0.44048,1.1808,0.80588,1.01188,0.00843851,0.00843851,0.00843851
15,7841.69,1.16442,0.78552,0.99349,0.62294,0.67752,0.69833,0.45328,1.17435,0.78753,1.01008,0.00820525,0.00820525,0.00820525
16,8304.3,1.15991,0.77988,0.99227,0.67016,0.66907,0.71116,0.47232,1.13808,0.77259,1.00177,0.00795954,0.00795954,0.00795954
17,8777.21,1.15337,0.7733,0.9892,0.6481,0.66834,0.70132,0.4633,1.15039,0.77743,1.00295,0.00770234,0.00770234,0.00770234
18,9245.92,1.14536,0.76664,0.98735,0.6629,0.68261,0.72294,0.48206,1.13301,0.75762,0.99661,0.00743468,0.00743468,0.00743468
19,9697.44,1.13968,0.76056,0.98719,0.65308,0.67816,0.71734,0.47905,1.1327,0.75702,0.99819,0.00715761,0.00715761,0.00715761
20,10174.1,1.1327,0.75617,0.98189,0.67936,0.65879,0.71325,0.47887,1.12334,0.74723,0.99377,0.00687222,0.00687222,0.00687222
21,10647.5,1.12814,0.74713,0.98065,0.65231,0.69665,0.72536,0.48826,1.11632,0.73757,0.9891,0.00657963,0.00657963,0.00657963
22,11128.6,1.12181,0.74197,0.97727,0.6676,0.69355,0.73098,0.49385,1.11321,0.73075,0.99122,0.00628101,0.00628101,0.00628101
23,11607.5,1.11348,0.73387,0.97695,0.67612,0.69283,0.73191,0.49343,1.10934,0.73581,0.9921,0.00597754,0.00597754,0.00597754
24,12066.7,1.11166,0.73056,0.97513,0.65543,0.68816,0.7243,0.48617,1.11128,0.73508,0.99003,0.0056704,0.0056704,0.0056704
25,12548.1,1.10277,0.72411,0.97267,0.68329,0.66414,0.7293,0.49405,1.10834,0.73011,0.98868,0.00536081,0.00536081,0.00536081
26,13034.4,1.0986,0.71779,0.97041,0.64209,0.702,0.72652,0.49439,1.09803,0.72674,0.98518,0.00505,0.00505,0.00505
27,13546.9,1.09214,0.71161,0.96734,0.65202,0.70544,0.72948,0.49424,1.1007,0.72324,0.98445,0.00473919,0.00473919,0.00473919
28,14026.7,1.08458,0.70767,0.96587,0.65591,0.706,0.73255,0.49975,1.09628,0.71695,0.98312,0.0044296,0.0044296,0.0044296
29,14521.1,1.08091,0.69877,0.96448,0.68049,0.69523,0.73856,0.50237,1.09388,0.71436,0.98283,0.00412246,0.00412246,0.00412246
30,14995.1,1.07386,0.69345,0.96144,0.67102,0.69457,0.73276,0.50046,1.09031,0.71433,0.98141,0.00381899,0.00381899,0.00381899
31,15470.2,1.06624,0.68602,0.96044,0.6779,0.69643,0.7385,0.50392,1.09242,0.71233,0.98317,0.00352037,0.00352037,0.00352037
32,15950.4,1.06189,0.67877,0.95771,0.67042,0.70508,0.73852,0.50567,1.08875,0.71152,0.98147,0.00322778,0.00322778,0.00322778
