epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,439.191,3.26313,2.80698,2.29094,0.5197,0.41808,0.4008,0.19745,3.29925,3.87938,2.46792,0.0700579,0.0033269,0.0033269
2,869.772,3.12655,2.39323,2.25353,0.72787,0.4848,0.5251,0.29108,2.92842,2.62013,2.29138,0.0400514,0.00665373,0.00665373
3,1292.71,3.03954,2.25423,2.21646,0.61078,0.54312,0.55557,0.32218,2.84402,2.21935,2.2468,0.0100189,0.00995456,0.00995456
4,1712.6,3.02087,2.23046,2.20723,0.56812,0.48866,0.53722,0.29714,3.01957,2.30873,2.33286,0.00991232,0.00991232,0.00991232
5,2133.88,2.94788,2.1478,2.19128,0.72977,0.51644,0.5628,0.32506,2.84407,2.09025,2.25158,0.00984449,0.00984449,0.00984449
6,2554.95,2.92121,2.11722,2.18348,0.75224,0.51033,0.56191,0.32956,2.78921,2.11685,2.21607,0.00975773,0.00975773,0.00975773
7,2972.76,2.88072,2.08276,2.16759,0.5546,0.55698,0.58328,0.35265,2.72229,2.00462,2.20055,0.00965239,0.00965239,0.00965239
8,3392.61,2.85441,2.05085,2.16006,0.57512,0.56133,0.59404,0.35708,2.68491,1.97664,2.18194,0.00952889,0.00952889,0.00952889
9,3813.53,2.85285,2.03488,2.15256,0.54798,0.59158,0.59851,0.36527,2.65577,1.92405,2.19017,0.00938772,0.00938772,0.00938772
10,4233.44,2.83742,2.01461,2.15151,0.66829,0.56837,0.61117,0.37812,2.60095,1.89544,2.14775,0.00922942,0.00922942,0.00922942
11,4652.1,2.82479,1.99407,2.1452,0.66692,0.60883,0.62221,0.38727,2.58786,1.81407,2.14926,0.00905463,0.00905463,0.00905463
12,5071.01,2.80607,1.98486,2.13576,0.69667,0.56797,0.62185,0.38738,2.58516,1.82419,2.13498,0.00886404,0.00886404,0.00886404
13,5491.9,2.79673,1.98089,2.13435,0.59351,0.59583,0.62471,0.38073,2.63563,1.82859,2.15098,0.00865839,0.00865839,0.00865839
14,5911.15,2.78385,1.96491,2.13397,0.67179,0.58335,0.6229,0.38778,2.559,1.80234,2.12754,0.00843851,0.00843851,0.00843851
15,6328.19,2.77409,1.94931,2.12595,0.65642,0.57999,0.6285,0.39338,2.58356,1.80186,2.12558,0.00820525,0.00820525,0.00820525
16,6744.25,2.75999,1.92736,2.11992,0.58363,0.62161,0.63683,0.40479,2.52412,1.7904,2.11235,0.00795954,0.00795954,0.00795954
17,7161.78,2.75571,1.92428,2.11572,0.58224,0.63192,0.64055,0.40339,2.56145,1.74261,2.1214,0.00770234,0.00770234,0.00770234
18,7578.82,2.74584,1.91373,2.11091,0.60745,0.61985,0.64223,0.41146,2.48651,1.73821,2.10148,0.00743468,0.00743468,0.00743468
19,7995.58,2.72631,1.89579,2.10405,0.60541,0.60823,0.6444,0.41165,2.49549,1.70733,2.1003,0.00715761,0.00715761,0.00715761
20,8412.41,2.72685,1.88886,2.10153,0.61551,0.62107,0.65027,0.41629,2.49063,1.71053,2.08649,0.00687222,0.00687222,0.00687222
21,8829.34,2.713,1.8793,2.09992,0.5884,0.64407,0.65423,0.41584,2.52068,1.70546,2.09991,0.00657963,0.00657963,0.00657963
22,9247.42,2.70224,1.86284,2.09623,0.60667,0.64234,0.65321,0.42207,2.46373,1.69731,2.08102,0.00628101,0.00628101,0.00628101
23,9664.66,2.68047,1.84182,2.08691,0.58377,0.65212,0.66072,0.42665,2.46081,1.65416,2.08065,0.00597754,0.00597754,0.00597754
24,10082.2,2.67419,1.83732,2.08379,0.61033,0.63867,0.66513,0.4309,2.44907,1.64608,2.07538,0.0056704,0.0056704,0.0056704
25,10499.2,2.6652,1.82461,2.08148,0.59419,0.64272,0.66216,0.42776,2.44774,1.63875,2.07596,0.00536081,0.00536081,0.00536081
26,10915.4,2.65189,1.80735,2.07271,0.58169,0.66476,0.66691,0.4342,2.42886,1.62439,2.06119,0.00505,0.00505,0.00505
27,11331.7,2.64331,1.79716,2.0694,0.58776,0.66144,0.66705,0.43287,2.43944,1.62781,2.06501,0.00473919,0.00473919,0.00473919
28,11747.8,2.62811,1.78958,2.06552,0.63145,0.64179,0.67551,0.43997,2.41938,1.61266,2.05774,0.0044296,0.0044296,0.0044296
29,12164.8,2.62028,1.7679,2.06268,0.60806,0.65291,0.67433,0.4406,2.41341,1.60196,2.05399,0.00412246,0.00412246,0.00412246
30,12582.4,2.60376,1.75485,2.0563,0.59434,0.67499,0.67786,0.44437,2.3979,1.58857,2.05122,0.00381899,0.00381899,0.00381899
31,13000.7,2.58608,1.74618,2.0527,0.64317,0.64455,0.68384,0.45,2.38348,1.58164,2.04524,0.00352037,0.00352037,0.00352037
32,13417.6,2.57874,1.72396,2.04655,0.615,0.6723,0.68198,0.44996,2.38694,1.57126,2.04757,0.00322778,0.00322778,0.00322778
33,13833.3,2.56348,1.71795,2.03953,0.61651,0.66607,0.68456,0.4522,2.37545,1.56455,2.03976,0.00294239,0.00294239,0.00294239
34,14251.7,2.5501,1.69978,2.04081,0.61878,0.6661,0.68381,0.45222,2.37896,1.56684,2.04303,0.00266532,0.00266532,0.00266532
35,14668.4,2.54145,1.68619,2.03351,0.61412,0.66423,0.68635,0.45488,2.37236,1.55491,2.03905,0.00239766,0.00239766,0.00239766
36,15084.4,2.52229,1.67116,2.03011,0.61387,0.67129,0.68875,0.45791,2.35948,1.54348,2.03367,0.00214046,0.00214046,0.00214046
37,15502.2,2.51204,1.66841,2.02099,0.63294,0.66495,0.69045,0.45912,2.35395,1.54366,2.02807,0.00189475,0.00189475,0.00189475
38,15917.5,2.48808,1.64212,2.01557,0.62804,0.65925,0.69028,0.4593,2.35745,1.542,2.02829,0.00166149,0.00166149,0.00166149
39,16334.7,2.47903,1.62395,2.0058,0.61964,0.67731,0.69342,0.46228,2.35112,1.5383,2.02527,0.00144161,0.00144161,0.00144161
40,16752,2.47296,1.61951,2.00812,0.6321,0.67062,0.69528,0.46401,2.34759,1.5299,2.02354,0.00123596,0.00123596,0.00123596
41,17199,2.43214,1.53489,2.02532,0.63073,0.66603,0.69557,0.4656,2.34049,1.52632,2.0223,0.00104537,0.00104537,0.00104537
42,17605.2,2.40106,1.50336,2.01467,0.6408,0.67106,0.69793,0.4677,2.33355,1.52078,2.01949,0.000870577,0.000870577,0.000870577
43,18010,2.38575,1.48329,2.01071,0.65684,0.66896,0.70124,0.47072,2.33198,1.51703,2.01941,0.000712282,0.000712282,0.000712282
44,18415.9,2.3703,1.47089,2.00543,0.6358,0.67693,0.69916,0.47011,2.32782,1.51431,2.01897,0.000571106,0.000571106,0.000571106
45,18821.9,2.35295,1.45671,1.9986,0.63184,0.67834,0.70112,0.47157,2.32621,1.51076,2.0182,0.000447606,0.000447606,0.000447606
46,19226.6,2.34734,1.44606,1.9944,0.63711,0.67861,0.70095,0.47144,2.3256,1.51006,2.01723,0.00034227,0.00034227,0.00034227
47,19631.4,2.33549,1.43895,1.99033,0.6378,0.67437,0.70182,0.4721,2.32473,1.50846,2.01687,0.000255513,0.000255513,0.000255513
48,20037.3,2.32686,1.43119,1.98928,0.63729,0.67569,0.70179,0.47225,2.32487,1.50859,2.0168,0.000187678,0.000187678,0.000187678
49,20447.4,2.32203,1.42674,1.98958,0.64145,0.67422,0.70208,0.4726,2.32415,1.50694,2.01675,0.000139032,0.000139032,0.000139032
50,20918,2.31791,1.42215,1.98621,0.6371,0.67546,0.70225,0.47291,2.3251,1.50744,2.01684,0.000109768,0.000109768,0.000109768
