epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,522.472,3.25555,2.79043,2.29206,0.53871,0.26951,0.23676,0.09376,4.30753,6.32977,2.90876,0.0700579,0.0033269,0.0033269
2,1000.92,3.0777,2.3286,2.2208,0.63431,0.54264,0.56478,0.31837,2.87623,2.43082,2.2191,0.0400514,0.00665373,0.00665373
3,1440.17,2.94491,2.14145,2.16424,0.53906,0.53439,0.53959,0.30895,2.87027,2.51146,2.25495,0.0100189,0.00995456,0.00995456
4,1859.52,2.85585,2.06408,2.1302,0.58749,0.59991,0.61591,0.36773,2.7036,1.94115,2.15659,0.00991232,0.00991232,0.00991232
5,2270.81,2.76541,1.95312,2.10027,0.57803,0.55701,0.58805,0.35981,2.69806,1.94094,2.14412,0.00984449,0.00984449,0.00984449
6,2680.84,2.71783,1.89729,2.07864,0.58336,0.61195,0.6274,0.39311,2.58846,1.83306,2.10246,0.00975773,0.00975773,0.00975773
7,3092.08,2.67286,1.8555,2.06152,0.59674,0.61696,0.63496,0.40676,2.52768,1.81799,2.08467,0.00965239,0.00965239,0.00965239
8,3503.36,2.63931,1.81594,2.05063,0.60968,0.61697,0.64513,0.413,2.49445,1.71462,2.06326,0.00952889,0.00952889,0.00952889
9,3916.54,2.62381,1.7873,2.03747,0.651,0.61156,0.64905,0.418,2.5018,1.73774,2.07541,0.00938772,0.00938772,0.00938772
10,4328.14,2.60098,1.76241,2.03314,0.60477,0.64012,0.66304,0.42959,2.44293,1.69352,2.04417,0.00922942,0.00922942,0.00922942
11,4739.93,2.57373,1.73339,2.02454,0.61379,0.64478,0.6605,0.42747,2.46145,1.65842,2.04896,0.00905463,0.00905463,0.00905463
12,5152.56,2.55136,1.70936,2.01403,0.63816,0.6475,0.6747,0.44229,2.42902,1.61582,2.03695,0.00886404,0.00886404,0.00886404
13,5566.1,2.53711,1.69511,2.01065,0.64624,0.65726,0.68362,0.44518,2.42615,1.62592,2.03484,0.00865839,0.00865839,0.00865839
14,5978.14,2.51951,1.68197,2.0078,0.63095,0.65434,0.67951,0.45203,2.36739,1.57289,2.01099,0.00843851,0.00843851,0.00843851
15,6392.38,2.49937,1.6588,1.99817,0.6337,0.65182,0.68526,0.45705,2.36452,1.564,2.01422,0.00820525,0.00820525,0.00820525
16,6806.14,2.48814,1.64153,1.99141,0.63989,0.63465,0.67908,0.44769,2.39855,1.59585,2.01413,0.00795954,0.00795954,0.00795954
17,7219.69,2.47354,1.62829,1.9896,0.6345,0.65652,0.68775,0.45617,2.38998,1.56221,2.02247,0.00770234,0.00770234,0.00770234
18,7630.65,2.45736,1.61248,1.98264,0.6489,0.6454,0.69343,0.46396,2.33712,1.53301,2.00771,0.00743468,0.00743468,0.00743468
19,8047.04,2.44157,1.59798,1.98031,0.64971,0.64808,0.69404,0.46617,2.33515,1.52194,1.99933,0.00715761,0.00715761,0.00715761
20,8459.8,2.43321,1.58832,1.97233,0.6595,0.65367,0.70102,0.47306,2.3043,1.50468,1.98758,0.00687222,0.00687222,0.00687222
21,8870.77,2.41851,1.57146,1.96705,0.64002,0.68035,0.70367,0.47328,2.31708,1.4995,1.98895,0.00657963,0.00657963,0.00657963
22,9283.28,2.40166,1.55659,1.96054,0.65401,0.67,0.70913,0.48172,2.2908,1.48601,1.98126,0.00628101,0.00628101,0.00628101
23,9696.68,2.38699,1.54473,1.95991,0.6674,0.66604,0.71076,0.48272,2.29453,1.48465,1.98799,0.00597754,0.00597754,0.00597754
24,10109.2,2.38262,1.53509,1.95625,0.6541,0.67092,0.71248,0.48517,2.2774,1.4793,1.9747,0.0056704,0.0056704,0.0056704
25,10523.3,2.36641,1.52051,1.95325,0.64407,0.67964,0.71297,0.48383,2.29559,1.48129,1.98119,0.00536081,0.00536081,0.00536081
26,10936.3,2.35717,1.50898,1.94561,0.66697,0.67429,0.71485,0.48849,2.26521,1.4609,1.96883,0.00505,0.00505,0.00505
27,11352.9,2.34487,1.49672,1.94255,0.67667,0.67568,0.72021,0.49261,2.25892,1.44965,1.96875,0.00473919,0.00473919,0.00473919
28,11766.7,2.33082,1.49232,1.94175,0.67917,0.67283,0.71959,0.49216,2.2671,1.45374,1.97364,0.0044296,0.0044296,0.0044296
29,12178.6,2.3226,1.4747,1.93799,0.65999,0.6792,0.71669,0.48965,2.26015,1.45081,1.97099,0.00412246,0.00412246,0.00412246
30,12590.4,2.30868,1.46556,1.93256,0.64789,0.6883,0.71786,0.49347,2.24347,1.43637,1.96453,0.00381899,0.00381899,0.00381899
