epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,440.091,3.05322,2.57158,2.18933,0.59983,0.50536,0.49334,0.25348,3.2586,2.98047,2.3694,0.0700579,0.0033269,0.0033269
2,930.469,2.9235,2.17561,2.15748,0.65668,0.55167,0.58621,0.33921,2.80213,2.1787,2.19034,0.0400514,0.00665373,0.00665373
3,1413.43,2.85216,2.0727,2.1303,0.5723,0.57332,0.57965,0.33665,2.83401,2.09541,2.20513,0.0100189,0.00995456,0.00995456
4,1891.12,2.83854,2.04667,2.12497,0.53989,0.5768,0.57921,0.33926,2.74018,2.1348,2.17466,0.00991232,0.00991232,0.00991232
5,2367.52,2.7788,1.97937,2.1085,0.66594,0.57723,0.60477,0.36696,2.68369,1.93702,2.14501,0.00984449,0.00984449,0.00984449
6,2856.28,2.76006,1.95321,2.10118,0.54853,0.56146,0.60748,0.37283,2.6287,1.86095,2.13398,0.00975773,0.00975773,0.00975773
7,3358.84,2.7327,1.92484,2.09765,0.58221,0.60855,0.62526,0.39366,2.53997,1.80655,2.11596,0.00965239,0.00965239,0.00965239
8,3827.21,2.70289,1.89476,2.08675,0.61819,0.5851,0.62532,0.39519,2.5525,1.81646,2.10415,0.00952889,0.00952889,0.00952889
9,4326.02,2.69681,1.87068,2.07476,0.59291,0.61812,0.64304,0.4069,2.53648,1.75198,2.09617,0.00938772,0.00938772,0.00938772
10,4761.56,2.68213,1.85906,2.07741,0.59046,0.608,0.63865,0.40698,2.52082,1.76033,2.08965,0.00922942,0.00922942,0.00922942
11,5187.49,2.66334,1.83,2.07031,0.60453,0.61802,0.63821,0.40848,2.50635,1.74236,2.09384,0.00905463,0.00905463,0.00905463
12,5611.3,2.64778,1.81056,2.06051,0.64478,0.61755,0.65145,0.41729,2.49426,1.74785,2.08957,0.00886404,0.00886404,0.00886404
13,10918.9,2.6374,1.80479,2.06017,0.62422,0.62041,0.64581,0.41434,2.46308,1.71974,2.07339,0.00865839,0.00865839,0.00865839
14,11398.3,2.62748,1.79495,2.05824,0.61388,0.63545,0.66073,0.42855,2.45057,1.71198,2.05992,0.00843851,0.00843851,0.00843851
15,11880.3,2.61474,1.77979,2.04976,0.62787,0.63515,0.66817,0.43739,2.43459,1.64728,2.05465,0.00820525,0.00820525,0.00820525
16,12363.9,2.60656,1.76373,2.04681,0.62515,0.6319,0.66874,0.43626,2.42269,1.65064,2.06229,0.00795954,0.00795954,0.00795954
17,12847.1,2.59456,1.75587,2.03967,0.6007,0.65218,0.66337,0.43651,2.40553,1.62634,2.0495,0.00770234,0.00770234,0.00770234
18,13284,2.5817,1.73952,2.03426,0.6317,0.63898,0.67829,0.4445,2.39965,1.60486,2.04256,0.00743468,0.00743468,0.00743468
19,13715.9,2.57041,1.72973,2.03192,0.63987,0.63537,0.67746,0.4462,2.39753,1.61652,2.03304,0.00715761,0.00715761,0.00715761
20,14151.7,2.56495,1.72283,2.02943,0.64043,0.64339,0.67904,0.44651,2.38368,1.5941,2.03142,0.00687222,0.00687222,0.00687222
21,14570.7,2.55385,1.70609,2.02408,0.64133,0.64517,0.68864,0.4544,2.38287,1.57744,2.02939,0.00657963,0.00657963,0.00657963
22,14985.2,2.54216,1.69509,2.0208,0.64703,0.64601,0.68685,0.45712,2.35794,1.5699,2.02261,0.00628101,0.00628101,0.00628101
23,15400.3,2.52875,1.68335,2.01786,0.63462,0.65232,0.68699,0.45502,2.37266,1.55864,2.02509,0.00597754,0.00597754,0.00597754
24,15814.4,2.52394,1.67393,2.01387,0.63496,0.66578,0.69056,0.46052,2.32984,1.52992,2.00919,0.0056704,0.0056704,0.0056704
25,16227.8,2.50735,1.65903,2.01156,0.65731,0.64552,0.69442,0.46424,2.34606,1.5379,2.01596,0.00536081,0.00536081,0.00536081
26,16639,2.49728,1.64434,2.0046,0.63745,0.66557,0.69619,0.46605,2.32923,1.52355,2.00639,0.00505,0.00505,0.00505
27,17048.3,2.48725,1.63665,2.00133,0.66135,0.65596,0.69951,0.46803,2.33813,1.51761,2.00692,0.00473919,0.00473919,0.00473919
28,17457.6,2.47305,1.62758,1.99657,0.64589,0.67445,0.70774,0.47575,2.31663,1.5051,2.00043,0.0044296,0.0044296,0.0044296
29,17879.7,2.4622,1.60882,1.99208,0.65459,0.66855,0.70776,0.47474,2.30397,1.50184,1.99897,0.00412246,0.00412246,0.00412246
30,18304.4,2.45083,1.59931,1.98812,0.66601,0.66893,0.71096,0.47889,2.29909,1.49268,1.9905,0.00381899,0.00381899,0.00381899
31,18740.4,2.43317,1.58808,1.98302,0.67245,0.65394,0.70929,0.47862,2.30473,1.49095,1.99116,0.00352037,0.00352037,0.00352037
32,19185.8,2.42581,1.56952,1.97815,0.64844,0.67741,0.71318,0.48304,2.29567,1.47719,1.9892,0.00322778,0.00322778,0.00322778
