epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,454.206,3.05848,3.01441,2.1986,0.65249,0.55694,0.58943,0.35115,2.65617,1.94494,2.06634,0.0700579,0.0033269,0.0033269
2,883.397,2.78139,2.00585,2.05992,0.58568,0.62076,0.63787,0.40344,2.4936,1.83065,2.0274,0.0400514,0.00665373,0.00665373
3,1307.95,2.79287,1.9863,2.06444,0.58615,0.56484,0.58936,0.35704,2.65027,2.01601,2.08599,0.0100189,0.00995456,0.00995456
4,1736.49,2.80536,2.00493,2.07201,0.57256,0.59976,0.61445,0.38247,2.55013,1.86953,2.06166,0.00991232,0.00991232,0.00991232
5,2178.65,2.71543,1.89851,2.05012,0.65131,0.58381,0.61869,0.36754,2.66437,1.88725,2.09564,0.00984449,0.00984449,0.00984449
6,2610.81,2.65765,1.83538,2.03354,0.61316,0.63713,0.64914,0.4193,2.47226,1.69259,2.03219,0.00975773,0.00975773,0.00975773
7,3039.93,2.6187,1.79122,2.02413,0.6171,0.64096,0.66644,0.43353,2.41537,1.66874,2.01767,0.00965239,0.00965239,0.00965239
8,3462.43,2.57782,1.74742,2.0113,0.67749,0.63213,0.67719,0.44214,2.42272,1.6469,2.02173,0.00952889,0.00952889,0.00952889
9,3880.32,2.5633,1.71705,1.99846,0.61331,0.65485,0.67234,0.44079,2.40858,1.63633,2.00489,0.00938772,0.00938772,0.00938772
10,4298.7,2.53814,1.6923,1.99423,0.62783,0.6365,0.6805,0.4517,2.36537,1.60518,2.00616,0.00922942,0.00922942,0.00922942
11,4717.4,2.51061,1.66236,1.98622,0.64065,0.65679,0.68802,0.45654,2.34766,1.57434,1.99431,0.00905463,0.00905463,0.00905463
12,5184.98,2.4916,1.64077,1.98185,0.66858,0.6432,0.69294,0.45857,2.36472,1.57141,2.00183,0.00886404,0.00886404,0.00886404
13,5604.62,2.47517,1.63214,1.97766,0.67202,0.64569,0.69448,0.46237,2.34501,1.5553,1.98779,0.00865839,0.00865839,0.00865839
14,6037.62,2.46014,1.61557,1.97504,0.64514,0.64723,0.68543,0.4536,2.35314,1.56118,1.98862,0.00843851,0.00843851,0.00843851
15,6517.51,2.44159,1.59452,1.96494,0.63821,0.66186,0.69762,0.46785,2.3308,1.53596,1.9777,0.00820525,0.00820525,0.00820525
16,6996.17,2.42809,1.58048,1.96124,0.63058,0.6802,0.70442,0.47494,2.29951,1.50847,1.97438,0.00795954,0.00795954,0.00795954
17,7469.86,2.41335,1.56393,1.9573,0.66124,0.65458,0.70004,0.46964,2.32171,1.52363,1.97644,0.00770234,0.00770234,0.00770234
